"","mmsi","created_at","msg_timestamp","position_updated_at","latitude","longitude","speed","course","heading","status","maneuver","accuracy","rot","collection_type","imo","name","call_sign","flag","draught","ship_type_code","ship_type","length","width","eta","destination","static_updated_at"
"1",412420898,"2024-01-24T01:34:11.063+00:00","2024-01-24T00:31:54+00:00","2024-01-24T00:31:51+00:00",-21.20562,-122.229106666667,6.1,97.9,102,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"2",412420898,"2024-01-24T01:34:11.063+00:00","2024-01-24T00:31:55+00:00","2024-01-24T00:31:51+00:00",-21.20562,-122.229106666667,6.1,97.9,102,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"3",412420898,"2024-01-24T01:34:10.847+00:00","2024-01-24T00:32:01+00:00","2024-01-24T00:31:51+00:00",-21.20562,-122.229106666667,6.1,97.9,102,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"4",412420898,"2024-01-24T01:34:10.847+00:00","2024-01-24T00:32:03+00:00","2024-01-24T00:31:51+00:00",-21.20562,-122.229106666667,6.1,97.9,102,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"5",412420898,"2024-01-24T01:34:10.847+00:00","2024-01-24T00:32:07+00:00","2024-01-24T00:31:51+00:00",-21.20562,-122.229106666667,6.1,97.9,102,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"6",412420898,"2024-01-24T01:34:10.847+00:00","2024-01-24T00:32:12+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"7",412420898,"2024-01-24T01:34:10.934+00:00","2024-01-24T00:32:14+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"8",412420898,"2024-01-24T01:34:10.901+00:00","2024-01-24T00:32:16+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"9",412420898,"2024-01-24T01:34:11.101+00:00","2024-01-24T00:32:17+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"10",412420898,"2024-01-24T01:34:10.89+00:00","2024-01-24T00:32:23+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"11",412420898,"2024-01-24T01:34:11.075+00:00","2024-01-24T00:32:24+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"12",412420898,"2024-01-24T01:34:11.075+00:00","2024-01-24T00:32:29+00:00","2024-01-24T00:32:11+00:00",-21.2056733333333,-122.22852,6,96.5,100,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"13",412420898,"2024-01-24T01:34:11.07+00:00","2024-01-24T00:32:41+00:00","2024-01-24T00:32:41+00:00",-21.2056966666667,-122.227773333333,4.9,91.1,97,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"14",412420898,"2024-01-24T01:34:10.891+00:00","2024-01-24T00:33:07+00:00","2024-01-24T00:33:04+00:00",-21.205,-122.226666666667,4.9,91.1,511,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
"15",412420898,"2024-01-24T01:34:10.902+00:00","2024-01-24T00:33:13+00:00","2024-01-24T00:33:08+00:00",-21.205,-122.226666666667,4.9,91.1,511,0,0,FALSE,0,"satellite",0,"ZHOU YUAN YU 2601@@@","BZUQ9@@","CN",0,30,"Fishing Vessel",43,8,"2024-01-01T01:01:00+00:00","A","2024-01-24T23:29:14+00:00"
