"created_at","msg_timestamp","position_updated_at","mmsi","latitude","longitude","speed","course","heading","status","maneuver","accuracy","rot","collection_type"
"2024-01-24T00:33:08.594+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",367375730,29.3488933333333,-94.8192816666667,4.81387147335423,357,54,5,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:21:42.85+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",357000002,9.36374166666667,-79.8944133333333,0.2,83,511,15,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:06:10.871+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",352554000,25.8982333333333,51.6430166666667,4.81387147335423,145,151,5,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:06:09.594+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",368926094,1.30798333333333,103.64485,4.81387147335423,348.4,44,5,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:07:53.744+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",369466000,1.29334833333333,103.673835,4.81387147335423,237,318,5,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:57:56.548+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",368286760,30.0598683333333,-93.4044883333333,4.81387147335423,296.5,85,12,1,TRUE,114,"satellite"
"2024-01-24T00:05:53.91+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",227004260,49.4843766666667,0.1156,4.81387147335423,360,511,6,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:06:10.509+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",369970316,38.98232,-76.4668,4.81387147335423,286.1,511,4,1,TRUE,81,"dynamic_classB"
"2024-01-24T00:32:37.966+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",413305010,22.7519466666667,114.63324,0.1,281.3,70,6,1,FALSE,114,"dynamic_classA"
"2024-01-24T01:15:19.119+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",503141330,-33.86309,151.1884,8.4,307.6,308,6,1,TRUE,127,"satellite"
"2024-01-24T00:14:19.029+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",271050924,40.99872,28.9586333333333,4.81387147335423,176.6,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:13:42.177+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",373161000,9.36451166666667,-79.8940716666667,0.1,143.6,511,15,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:08:25.993+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",368201030,29.74178,-95.1995833333333,4.81387147335423,281.5,256,12,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:00:38.454+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",271047177,40.7021916666667,29.46575,4.81387147335423,221.694001874414,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:15:01.058+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",273385740,59.669885,28.297785,4.81387147335423,360,511,5,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:10:32.005+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",563078770,1.26096833333333,103.917688333333,1.7,74.2,74,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:15:51.202+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",667001875,1.15923333333333,103.454121666667,4.5,120.5,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:18:25.356+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",367537710,30.046505,-93.7297783333333,4.81387147335423,241.6,248,12,1,TRUE,114,"dynamic_classA"
"2024-01-24T00:00:38.454+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",271010138,40.696575,29.4513866666667,0.1,221.694001874414,511,4,1,FALSE,81,"dynamic_classB"
"2024-01-24T00:25:09.651+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",657123100,3.45186666666667,5.544335,0.1,135.3,206,8,1,TRUE,114,"satellite"
"2024-01-24T00:15:02.701+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",247370900,-4.78637,11.8349116666667,4.81387147335423,128.2,353,6,1,FALSE,246,"dynamic_classA"
"2024-01-24T00:05:30.257+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",352002049,29.8691366666667,122.195243333333,11.2,332.2,333,6,1,FALSE,251,"dynamic_classA"
"2024-01-24T00:05:55.867+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",244620542,51.8817516666667,4.26499666666667,4.81387147335423,360,511,5,1,TRUE,128,"dynamic_classA"
"2024-01-24T00:37:17.46+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",636016075,25.8592166666667,51.7589533333333,0.1,116.7,108,1,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:13:52.496+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",339301420,29.8516166666667,122.506388333333,0.3,230.8,11,1,1,FALSE,114,"dynamic_classA"
"2024-01-24T01:17:46.49+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",636020423,-38.145065,150.142368333333,15.1,210.8,210,6,1,FALSE,3,"satellite"
"2024-01-24T00:19:51.292+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",209387000,77.05391,61.6782,7.6,79.4,84,6,1,FALSE,114,"satellite"
"2024-01-24T00:45:58.635+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",538010073,-19.08004,-38.327465,9.6,208.3,210,6,1,FALSE,114,"satellite"
"2024-01-24T00:11:47.923+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",215989000,25.1989633333333,56.5147783333333,4.81387147335423,166.7,179,1,1,FALSE,254,"dynamic_classA"
"2024-01-24T00:07:47.934+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",413371120,37.8285516666667,121.118636666667,0.3,91.4,339,6,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:04:58.854+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",341675000,25.3835616666667,56.582555,4.81387147335423,298.8,161,1,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:25:09.843+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",311027900,-7.207265,8.78387,5.2,233,230,6,1,FALSE,255,"satellite"
"2024-01-24T00:37:46.653+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",563106700,-19.6071666666667,2.59313333333333,12.9,323,326,6,1,FALSE,114,"satellite"
"2024-01-24T00:11:27.283+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",215905000,36.5903333333333,-39.5215,17.2,91.5,90,6,1,TRUE,246,"satellite"
"2024-01-24T00:14:26.36+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",477242700,6.30391166666667,94.1816833333333,14.4,265.9,260,6,1,FALSE,114,"dynamic_classA"
"2024-01-24T00:01:44.121+00:00","2024-01-24T00:00:00+00:00","2024-01-24T00:00:00+00:00",244820397,51.279275,4.368485,4.81387147335423,256.5,511,5,1,TRUE,128,"dynamic_classA"
