"","mmsi","created_at","msg_timestamp","position_updated_at","latitude","longitude","speed","course","heading","status","maneuver","accuracy","rot","collection_type","imo","name","call_sign","flag","draught","ship_type_code","ship_type","length","width","eta","destination","static_updated_at"
"22",2579999,"2024-01-24T00:05:13.407+00:00","2024-01-24T00:03:05+00:00","2024-01-24T00:03:05+00:00",34.7953616666667,127.738461666667,NA,NA,NA,NA,NA,FALSE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"23",2579999,"2024-01-24T00:05:08.645+00:00","2024-01-24T00:03:12+00:00","2024-01-24T00:03:12+00:00",29.65054,32.36102,NA,NA,NA,NA,NA,FALSE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"24",2579999,"2024-01-24T00:20:50.013+00:00","2024-01-24T00:03:14+00:00","2024-01-24T00:03:14+00:00",1.283125,103.779308333333,NA,NA,NA,NA,NA,FALSE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"25",2579999,"2024-01-24T01:17:46.695+00:00","2024-01-24T00:03:24+00:00","2024-01-24T00:03:24+00:00",-38.4495533333333,148.308903333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"26",2579999,"2024-01-24T01:17:46.695+00:00","2024-01-24T00:03:34+00:00","2024-01-24T00:03:34+00:00",-38.4495516666667,148.308913333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"27",2579999,"2024-01-24T00:05:16.488+00:00","2024-01-24T00:03:38+00:00","2024-01-24T00:03:38+00:00",29.6505366666667,32.3610216666667,NA,NA,NA,NA,NA,FALSE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"28",2579999,"2024-01-24T01:17:46.691+00:00","2024-01-24T00:03:44+00:00","2024-01-24T00:03:44+00:00",-38.4495483333333,148.308918333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"29",2579999,"2024-01-24T01:17:09.954+00:00","2024-01-24T00:03:54+00:00","2024-01-24T00:03:54+00:00",-38.449545,148.308926666667,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"30",2579999,"2024-01-24T00:21:15.145+00:00","2024-01-24T00:04:05.673+00:00","2024-01-24T00:04:05.673+00:00",9.503445,-13.7081983333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"31",2579999,"2024-01-24T01:15:19.134+00:00","2024-01-24T00:04:09+00:00","2024-01-24T00:04:09+00:00",53.5399916666667,9.87886166666667,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"32",2579999,"2024-01-24T01:17:08.558+00:00","2024-01-24T00:04:15+00:00","2024-01-24T00:04:15+00:00",-38.44954,148.308943333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"33",2579999,"2024-01-24T01:15:18.806+00:00","2024-01-24T00:04:19+00:00","2024-01-24T00:04:19+00:00",53.53999,9.87885833333333,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"34",2579999,"2024-01-24T01:15:18.916+00:00","2024-01-24T00:04:29+00:00","2024-01-24T00:04:29+00:00",53.539995,9.878865,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"35",2579999,"2024-01-24T01:15:18.906+00:00","2024-01-24T00:04:39+00:00","2024-01-24T00:04:39+00:00",-38.4495283333333,148.308981666667,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"36",2579999,"2024-01-24T00:05:50.349+00:00","2024-01-24T00:04:43+00:00","2024-01-24T00:04:43+00:00",53.5399916666667,9.87886166666667,NA,NA,NA,NA,NA,FALSE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"37",2579999,"2024-01-24T00:05:45.409+00:00","2024-01-24T00:04:47+00:00","2024-01-24T00:04:47+00:00",50.79963,-1.11000666666667,NA,NA,NA,NA,NA,TRUE,NA,"dynamic_classA",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
"38",2579999,"2024-01-24T01:14:12.211+00:00","2024-01-24T00:04:49+00:00","2024-01-24T00:04:49+00:00",-38.4495266666667,148.30897,NA,NA,NA,NA,NA,FALSE,NA,"satellite",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA
